MJD GSC_ch1 GSC_ch1_e GSC_ch2 GSC_ch2_e GSC_ch3 GSC_ch3_e BAT_ch1 BAT_ch1_e	BAT_ch2 BAT_ch2_e BAT_ch3 BAT_ch3_e BAT_ch4 BAT_ch4_e HR HR_e
55074.5  0.042 0.005  0.052 0.005  0.020 0.007 		 0.000669 0.000109  0.000725 0.000111  0.000330 0.000093  0.000044 0.000059 		   0.007790    0.002378
55075.5  0.059 0.006  0.059 0.006  0.012 0.007 		 0.000520 0.000133  0.000312 0.000133  0.000403 0.000111  0.000079 0.000069 		   0.006865    0.002014
55076.5  0.038 0.005  0.058 0.005  0.031 0.008 		 0.000504 0.000186  0.000430 0.000188  0.000324 0.000158 -0.000021 0.000103 		   0.008416    0.004251
55077.5  0.056 0.005  0.058 0.005  0.020 0.007 		 0.000700 0.000079  0.000514 0.000080  0.000200 0.000066 -0.000013 0.000041 		   0.003603    0.001235
55078.5  0.051 0.005  0.056 0.005  0.024 0.007 		 0.000558 0.000084  0.000418 0.000084  0.000084 0.000068 -0.000108 0.000042 		   0.001636    0.001330
55079.5  0.058 0.006  0.054 0.006  0.019 0.009 		 0.000916 0.000271  0.000360 0.000269 -0.000160 0.000225 -0.000304 0.000135 		  -0.002765   -0.003918
55080.5  0.037 0.005  0.045 0.006  0.011 0.008 		 0.000819 0.000091  0.000552 0.000093  0.000463 0.000077 -0.000017 0.000048 		   0.012359    0.002656
55081.5  0.066 0.005  0.064 0.005  0.024 0.007 		 0.000559 0.000077  0.000499 0.000077  0.000153 0.000063  0.000020 0.000040 		   0.002326    0.000977
55082.5  0.045 0.005  0.053 0.005  0.006 0.007 		 0.001034 0.000077  0.000750 0.000080  0.000254 0.000067 -0.000042 0.000045 		   0.005592    0.001581
55083.5  0.056 0.006  0.043 0.006  0.020 0.010 		 0.000634 0.000136  0.000939 0.000137  0.000160 0.000114 -0.000062 0.000070 		   0.002844    0.002043
55084.5  0.034 0.005  0.032 0.006  0.007 0.010 		 0.000489 0.000083  0.000247 0.000090  0.000286 0.000076 -0.000021 0.000054 		   0.008311    0.002540
55085.5  0.043 0.005  0.054 0.006  0.005 0.010 		 0.000404 0.000080  0.000384 0.000081  0.000169 0.000065  0.000033 0.000040 		   0.003896    0.001583
55086.5  0.049 0.006  0.054 0.007  0.001 0.011 		 0.001144 0.000119  0.000809 0.000118  0.000168 0.000094 -0.000079 0.000055 		   0.003446    0.001975
55087.5  0.044 0.007  0.057 0.008 -0.003 0.013 		 0.000788 0.000095  0.000596 0.000099  0.000457 0.000082  0.000157 0.000057 		   0.010434    0.002498
55088.5  0.056 0.012  0.072 0.014  0.014 0.024 		 0.000774 0.000063  0.000668 0.000063  0.000412 0.000052  0.000054 0.000031 		   0.007340    0.001799
55089.5  0.050 0.015  0.057 0.019  0.046 0.032 		 0.000783 0.000048  0.000855 0.000052  0.000273 0.000045  0.000015 0.000033 		   0.005436    0.001835
